,game_id,season,season_type,week,game_date,home_team,away_team,final_home_score,final_away_score,score_diff,home_win,home_plays,home_pass_plays,home_rush_plays,home_yards_total,home_epa_total,home_epa_mean,home_success_rate,home_touchdowns,home_interceptions,home_fumbles_lost,home_explosive_plays,away_plays,away_pass_plays,away_rush_plays,away_yards_total,away_epa_total,away_epa_mean,away_success_rate,away_touchdowns,away_interceptions,away_fumbles_lost,away_explosive_plays,underdog_win,underdog_team,spread_home,spread_away
37,2005_04_DEN_JAX,2005,REG,4,2005-10-02,JAX,DEN,7,20,-13,0,70,40,11,241.0,-14.4903950623046,-0.20700564374720856,0.34285714285714286,1,2,2,2,92,32,43,306.0,0.0055549570973105755,6.0379968449027995e-05,0.5161290322580645,2,0,0,1,1.0,DEN,-4.0,4.0
38,2005_04_DET_TB,2005,REG,4,2005-10-02,TB,DET,17,13,4,1,84,46,22,353.0,-6.254137938478109,-0.07445402307712035,0.35294117647058826,2,3,1,4,71,35,21,226.0,-7.871413144042746,-0.110864973859757,0.38028169014084506,1,0,1,1,0.0,DET,-6.5,6.5
39,2005_04_GB_CAR,2005,REG,4,2005-10-03,CAR,GB,32,29,3,1,80,29,32,286.0,9.251058172413272,0.11563822715516589,0.41975308641975306,4,0,1,3,88,54,19,356.0,8.34323892305158,0.09480953321649523,0.4659090909090909,4,1,1,5,0.0,GB,-3.0,3.0
40,2005_04_HOU_CIN,2005,REG,4,2005-10-02,CIN,HOU,16,10,6,1,83,41,25,371.0,9.94412958581976,0.1198087901905995,0.4880952380952381,1,0,0,3,73,33,23,254.0,5.583014057781974,0.07647964462715033,0.4520547945205479,1,0,1,1,0.0,HOU,-9.5,9.5
41,2005_04_IND_TEN,2005,REG,4,2005-10-02,TEN,IND,10,31,-21,0,76,42,17,313.0,1.6942979248198096,0.022293393747629075,0.5194805194805194,1,1,0,1,66,29,26,364.0,26.826440340694354,0.4064612172832478,0.5757575757575758,4,0,0,5,0.0,TEN,7.0,-7.0
42,2005_04_MIN_ATL,2005,REG,4,2005-10-02,ATL,MIN,30,10,20,1,80,27,37,368.0,11.1488358544763,0.13936044818095375,0.5432098765432098,3,0,0,5,83,46,16,261.0,-8.102652515046223,-0.09762231945838823,0.4578313253012048,1,2,1,2,0.0,MIN,-6.0,6.0
43,2005_04_NYJ_BAL,2005,REG,4,2005-10-02,BAL,NYJ,13,3,10,1,79,22,42,259.0,-10.189126270233686,-0.12897628190169222,0.3625,1,1,1,3,67,35,16,152.0,-19.02534620859659,-0.28396039117308347,0.31343283582089554,0,0,0,2,0.0,NYJ,-7.5,7.5
44,2005_04_PHI_KC,2005,REG,4,2005-10-02,KC,PHI,31,37,-6,0,81,35,26,353.0,2.892792701168751,0.035713490137885814,0.49382716049382713,5,2,2,5,88,53,15,398.0,13.748454611152344,0.1562324387630948,0.5168539325842697,3,1,1,4,1.0,PHI,-2.5,2.5
45,2005_04_SEA_WAS,2005,REG,4,2005-10-02,WAS,SEA,20,17,3,1,93,41,38,352.0,8.708016174452778,0.09363458252099761,0.43617021276595747,2,1,0,1,79,42,22,354.0,9.081015184827518,0.11494955930161414,0.4936708860759494,2,0,0,3,0.0,SEA,-2.0,2.0
46,2005_04_SF_ARI,2005,REG,4,2005-10-02,ARI,SF,31,14,17,1,99,53,31,463.0,-0.5552852303441544,-0.005608941720648025,0.47,4,0,2,5,75,37,14,168.0,-18.43600510166991,-0.2458134013555988,0.3333333333333333,0,1,3,1,0.0,SF,-3.0,3.0
47,2005_05_BAL_DET,2005,REG,5,2005-10-09,DET,BAL,35,17,18,1,81,29,37,266.0,6.0732154283251205,0.07497796825092741,0.43902439024390244,5,2,0,1,92,48,30,387.0,-9.963302348903703,-0.10829676466199677,0.4891304347826087,2,2,2,4,0.0,BAL,-2.0,2.0
